episode,score,avg_reward_5,epsilon,steps,loss
152,-20.0,-20.6,0.46677573701590436,904,0.021124826865555977
153,-21.0,-20.6,0.46444185833082485,783,0.02498969217721613
154,-21.0,-20.6,0.46211964903917074,824,0.025149447361417894
155,-19.0,-20.4,0.4598090507939749,1081,0.02332431678260676
156,-16.0,-19.4,0.457510005540005,1235,0.023426294842615217
157,-20.0,-19.4,0.45522245551230495,842,0.024705098821912092
158,-21.0,-19.4,0.4529463432347434,792,0.02383971592217961
159,-20.0,-19.2,0.4506816115185697,871,0.024627372529932398
160,-20.0,-19.4,0.4484282034609769,842,0.023778908586024744
161,-20.0,-20.2,0.446186062443672,966,0.023868756731891354
162,-21.0,-20.4,0.4439551321314536,764,0.024346960067909932
163,-21.0,-20.4,0.4417353564707963,792,0.022068111922653955
164,-21.0,-20.6,0.43952667968844233,843,0.024653673812384914
165,-21.0,-20.8,0.43732904629000013,884,0.02399796665909124
166,-21.0,-21.0,0.4351424010585501,913,0.02437469615749678
167,-21.0,-21.0,0.43296668905325736,885,0.025110712609520854
168,-21.0,-21.0,0.43080185560799106,843,0.025505710713953952
169,-21.0,-21.0,0.4286478463299511,852,0.023081425487528666
170,-20.0,-20.8,0.42650460709830135,947,0.025533583523337303
171,-21.0,-20.8,0.42437208406280985,764,0.023418643723405942
172,-21.0,-20.8,0.4222502236424958,792,0.023602004611467522
173,-21.0,-20.8,0.42013897252428334,826,0.023775263261780047
174,-20.0,-20.6,0.4180382776616619,842,0.0219111120077157
175,-19.0,-20.4,0.4159480862733536,938,0.0264400325368716
176,-21.0,-20.4,0.41386834584198684,764,0.026850967855038516
177,-21.0,-20.4,0.4117990041127769,824,0.023098925219987774
178,-21.0,-20.4,0.40974000909221303,977,0.022230564704438443
179,-21.0,-20.6,0.40769130904675194,887,0.023074447966828834
180,-21.0,-21.0,0.40565285250151817,764,0.02315196008395577
181,-20.0,-20.8,0.4036245882390106,923,0.024551002504822433
182,-20.0,-20.6,0.4016064652978155,922,0.02337144512053475
183,-20.0,-20.4,0.3995984329713264,1020,0.02355732740189506
184,-19.0,-20.0,0.3976004408064698,1054,0.023189961541065438
185,-19.0,-19.6,0.39561243860243744,965,0.023423818695730497
186,-20.0,-19.6,0.3936343764094253,950,0.024676390004797693
187,-21.0,-19.8,0.39166620452737816,764,0.023237589444894725
188,-20.0,-19.8,0.3897078735047413,867,0.02491086333973447
189,-21.0,-20.2,0.3877593341372176,764,0.024742821751696335
190,-21.0,-20.6,0.3858205374665315,764,0.025559049293925166
191,-19.0,-20.4,0.38389143477919885,1119,0.024759948613801246
192,-20.0,-20.2,0.3819719776053028,947,0.02430079722167396
193,-21.0,-20.4,0.3800621177172763,904,0.02495490295205428
194,-20.0,-20.2,0.37816180712868996,919,0.0230153112730097
195,-20.0,-20.0,0.37627099809304654,842,0.02462891500863947
196,-19.0,-20.0,0.3743896431025813,937,0.021819254426914167
197,-20.0,-20.0,0.37251769488706843,962,0.02271005842991908
198,-21.0,-20.0,0.3706551064126331,792,0.026448367784200167
199,-21.0,-20.2,0.36880183088056995,783,0.021201006452739417
200,-20.0,-20.2,0.3669578217261671,899,0.023879892388252527
201,-21.0,-20.6,0.36512303261753626,973,0.02307146164327922
202,-21.0,-20.8,0.3632974174544486,886,0.02538243881184329
203,-21.0,-20.8,0.3614809303671764,886,0.021742537185002086
204,-21.0,-20.8,0.3596735257153405,764,0.024234709449518346
205,-20.0,-20.8,0.3578751580867638,964,0.02494353471865529
206,-21.0,-20.8,0.35608578229633,881,0.02067864775808558
207,-20.0,-20.6,0.3543053533848483,837,0.02603201886019091
208,-21.0,-20.6,0.35253382661792404,764,0.022166497478702262
209,-21.0,-20.6,0.3507711574848344,826,0.02573816669862024
210,-21.0,-20.8,0.34901730169741024,783,0.02471797944312394
211,-21.0,-20.8,0.3472722151889232,854,0.021836858929109824
212,-20.0,-20.8,0.3455358541129786,838,0.02307048673112349
213,-21.0,-20.8,0.3438081748424137,905,0.025895329800373953
214,-21.0,-20.8,0.3420891339682016,764,0.024868875717387978
215,-21.0,-20.8,0.3403786882983606,884,0.024673473058952962
216,-20.0,-20.6,0.3386767948568688,1024,0.02207567570964386
217,-20.0,-20.6,0.33698341088258443,1042,0.023151544318500916
218,-21.0,-20.6,0.3352984938281715,852,0.025313098123993946
219,-20.0,-20.4,0.33362200135903064,844,0.024924513569850114
220,-19.0,-20.0,0.33195389135223546,1086,0.023286999992994203
